,Standard Name,Summary
0,1-800-GOT-JUNK?,"RBDS Rubbish Boys Disposal Service Inc. (doing business as 1-800-GOT-JUNK?) is a Canadian franchised residential and commercial junk removal company operating in the United States, Canada, and Australia. The company's business model consists of taking junk or trash haulage, and giving it a ""clean"" image through branding and marketing."
1,Norda Stelo,"Norda Stelo (formerly Roche Ltd, Consulting Group) specializes in integrated projects. Founded in La Malbaie, Québec in 1963, it has over 1,800 employees (in 2013). Alex Brisson is the President and CEO since 2013. The group is based in Québec City, and operates in over 50 countries."
2,3Way International Logistics,"3Way International Logistics Inc. is a freight forwarding company located in Mississauga, Ontario, Canada near Toronto Pearson International Airport. The names derives from the way they can send their shipment by either Land, Air or Ocean. The company was founded by Florencio Mario Simao Martins in May 2001.
3Way also works on Freight services, freight forwarding, and as a cargo agent. 3Way  also has achieved international qualifications in the Member of Institute of Logistics & Transport, UK, and Fellow of Freight Professional Institute, UK. The company was the only representative from Canada to go to the 2005 China Summit."
3,A Buck or Two,"A Buck or Two Stores Ltd. is a Canadian owned and operated chain of specialty retail stores that sell party supplies, cards and wrap, confection, school & office supplies, toys and crafts, seasonal items, housewares, hardware, and other essentials. It has been opened since 1988.
Merchandise is mostly priced at $2.00 or less, and consists of both new merchandise (usually imported, though sometimes of Canadian origin) and closeouts.
It has 47 locations across Canada.

Alberta (5)
British Columbia (5)
Newfoundland (10)
Ontario (20)
Quebec (6)

"
4,Access Communications,"Access Communications is a Canadian telecommunications service provider operating in over 235 communities in Saskatchewan. Headquartered in Regina, the co-operative provides internet, cable television, telephone and security services to residential and business customers. Its primary competitor is Saskatchewan's government-owned  SaskTel."
5,Ache Records,"Ache Records is an independent record label based in Vancouver, British Columbia, Canada. It was started by the musician Andy Dixon around 1999. Ache releases music for both Canadian and foreign acts. The first release on Ache Records was Hot Hot Heat's release, Hot Hot Heat (1999), a four-song EP. Other notable artists to work with Ache include Death from Above 1979, Four Tet, Hrvatski, Konono N°1, and Matmos.Ache Records releases albums from disparate genres. The University of Saskatchewan newspaper, The Sheaf, says that Ache has an ""inconsistency of genres"" and the label distances itself from using genres to describe its releases. Ache has been described by the Montreal Mirror as having an ""uncanny ability to meld seemingly disparate worlds into a cohesive whole"". Discorder magazine named Ache Records ""Label of the Year"" for 2004, citing a featured review on Pitchfork Media for Flössin's album Lead Singer, as well as the label's DIV/ORCE 7″ series."
6,Addition Elle,"Addition Elle is a Canadian clothing store chain that sells plus-size clothing. It was established in Montreal and sold to Reitmans in 2001.

"
7,Advanced Cyclotron Systems,"Advanced Cyclotron Systems, Inc. (ACSI) is a company based in Richmond, British Columbia, Canada that supplies and services cyclotrons predominately used for the production of  medical isotopes by hospitals for nuclear medicine.  The company was a spin-off of the research program at TRIUMF.  The machines are used for the production of isotopes used in Positron emission tomography (PET), Single-photon emission computed tomography (SPECT) or production of technetium-99 for molecular imaging.  ACSI controls approximately half the world market for such machines,Four models of cyclotrons are offered:

TR-19 (14 MeV to 19 MeV) variable energy negative ion cyclotrons
TR-24 (15 to 24 MeV) high current cyclotron used for the production of  PET and SPECT isotopes; including one machine installed at the Université de Sherbrooke,
TR-FLEX (18 MeV up to 30 MeV) high current cyclotron used for PET and SPECT isotopes.
TR-30 (15 MeV to 30 MeV) high current cyclotron used for SPECT isotopes.

"
8,Affinity Credit Union,"Affinity Credit Union is a financial institution headquartered in Saskatoon, Saskatchewan, Canada, with headquarters in the city of Saskatoon. As of August 2019, Affinity operates 56 branches in 47 communities across Saskatchewan. It is the second-largest credit union in Saskatchewan and the eighth-largest in Canada, with $6.9 billion in managed assets. Affinity Credit Union employs 791 people and serves 141,587 members. Affinity is also a member of the World Council of Credit Unions and the Global Alliance for Banking on Values.Affinity Credit Union is also the owner of a number of independently managed Insurance Brokerages throughout Saskatchewan, operating under the name Affinity Insurance Services.

"
9,Air Canada,"Air Canada is the flag carrier and the largest airline of Canada by fleet size and passengers carried. Air Canada maintains its headquarters in Saint-Laurent, Montreal, Quebec. The airline, founded in 1937, provides scheduled and charter air transport for passengers and cargo to 207 destinations worldwide. It is a founding member of the Star Alliance. Air Canada's major hubs are at Montréal–Trudeau International Airport (YUL), Toronto Pearson International Airport (YYZ) and Vancouver International Airport (YVR). The airline's regional service is Air Canada Express.
Canada's national airline originated from the Canadian federal government's 1936 creation of Trans-Canada Air Lines (TCA), which began operating its first transcontinental flight routes in 1938. In 1965, TCA was renamed Air Canada following government approval. After the deregulation of the Canadian airline market in the 1980s, the airline was privatized in 1988. On 4 January 2000, Air Canada acquired its largest rival, Canadian Airlines. In 2003, the airline filed for bankruptcy protection and in the following year emerged and reorganized under the holding company ACE Aviation Holdings Inc. In 2017, Air Canada flew 48 million passengers, as the airline celebrated its 80th anniversary. In 2021, the Government of Canada acquired 6.4% of Air Canada as a part of a COVID-19 related assistance package, and has not ruled out further investment.Air Canada has a fleet of Airbus A330, Boeing 777, and Boeing 787 Dreamliner wide-body aircraft on long-haul routes and uses the Airbus A320 family aircraft (including the A320 and A321 variants), Boeing 737 MAX 8, and Airbus A220-300 aircraft on short-haul routes. The carrier's operating divisions include Air Canada Cargo, Air Canada Express, Air Canada Jetz (private jet charters), and Air Canada Rouge (leisure airline). Its subsidiary, Air Canada Vacations, provides vacation packages to over 90 destinations. Together with its regional partners, the airline operates on average more than 1,613 scheduled flights daily."
